idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      2913129      1465237           32 mlx5_comp0
  2 529            0      3079331      1510243           33 mlx5_comp1
  3 530            0      3063748      1530274           34 mlx5_comp2
  4 531            0      2939008      1493860           35 mlx5_comp3
  5 532            0      3036788      1537373           36 mlx5_comp4
  6 533            0      3020106      1517107           37 mlx5_comp5
  7 534            0      3057071      1527049           38 mlx5_comp6
  8 535            0      2987720      1454320           39 mlx5_comp7
total            127     24096901     12035463
