idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328           20      7232197      3934123           32 mlx5_comp0
  2 539           30      7866258      3651773           33 mlx5_comp1
  3 540           23      7599690      3654918           34 mlx5_comp2
  4 541            5      7314275      3654738           35 mlx5_comp3
  5 542           11      7303849      3796629           36 mlx5_comp4
  6 543           20      7852022      3615080           37 mlx5_comp5
  7 544           13      7596421      3924620           38 mlx5_comp6
  8 545           35      7308958      3800093           39 mlx5_comp7
total            285     60073670     30031974
