idx irq        fired       rxpkts       txpkts         cpus name
  0 327        29748            0            0         0-31 mlx5_async0
  1 328       393650      3072303      1498436           32 mlx5_comp0
  2 539       374505      3093067      1505439           33 mlx5_comp1
  3 540       399200      2984052      1514541           34 mlx5_comp2
  4 541       372167      3015194      1509883           35 mlx5_comp3
  5 542       389341      3052655      1492529           36 mlx5_comp4
  6 543       389556      2932889      1505939           37 mlx5_comp5
  7 544       394417      2826901      1502953           38 mlx5_comp6
  8 545       398870      3111670      1490027           39 mlx5_comp7
total        3141454     24088731     12019747
