idx irq        fired       rxpkts       txpkts         cpus name
  0 327         4049            0            0         0-31 mlx5_async0
  1 328       281461      8767666      4398627           32 mlx5_comp0
  2 539       262354      8889522      4446195           33 mlx5_comp1
  3 540       283287      8792961      4382478           34 mlx5_comp2
  4 541       266914      9233945      4613403           35 mlx5_comp3
  5 542       279447      8736560      4462619           36 mlx5_comp4
  6 543       276451      8738172      4368691           37 mlx5_comp5
  7 544       275468      8562783      4366692           38 mlx5_comp6
  8 545       279276      8927030      4281855           39 mlx5_comp7
total        2208707     70648639     35320560
