idx irq        fired       rxpkts       txpkts         cpus name
  0 327          193            0            0         0-31 mlx5_async0
  1 328          818      5960869      2993456           32 mlx5_comp0
  2 539          627      6184690      3043543           33 mlx5_comp1
  3 540          488      5677583      3002837           34 mlx5_comp2
  4 541         1011      5972244      3022153           35 mlx5_comp3
  5 542          740      6043157      2982364           36 mlx5_comp4
  6 543          797      6102660      2937394           37 mlx5_comp5
  7 544          671      6185302      3066701           38 mlx5_comp6
  8 545          845      5958738      2979687           39 mlx5_comp7
total           6190     48085243     24028135
