idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            0     11196824      2057786           32 mlx5_comp0
  2 539            6      7102429      4470825           33 mlx5_comp1
  3 540            1      4980258      5174891           34 mlx5_comp2
  4 541           82      8869672      2800947           35 mlx5_comp3
  5 542            4      9492208      2509308           36 mlx5_comp4
  6 543           11      7080030      3473891           37 mlx5_comp5
  7 544            0      5731310      4859137           38 mlx5_comp6
  8 545            5      8926959      6331957           39 mlx5_comp7
total            237     63379690     31678742
