idx irq        fired       rxpkts       txpkts         cpus name
  0 327          153            0            0         0-31 mlx5_async0
  1 328          280      6847512      3310034           32 mlx5_comp0
  2 539          307      7735597      3569958           33 mlx5_comp1
  3 540          326      6971763      3995790           34 mlx5_comp2
  4 541          292      7048179      3450576           35 mlx5_comp3
  5 542          327      7210374      3312208           36 mlx5_comp4
  6 543          339      6610369      3511861           37 mlx5_comp5
  7 544          327      6787517      3421368           38 mlx5_comp6
  8 545          347      7295896      3672293           39 mlx5_comp7
total           2698     56507207     28244088
