idx irq        fired       rxpkts       txpkts         cpus name
  0 317          339            0            0        32-63 mlx5_async0
  1 318            0      1439295       717376           16 mlx5_comp0
  2 341            0      1582852       787197           17 mlx5_comp1
  3 342            0      1577657       716644           18 mlx5_comp2
  4 343            0      1541090       784173           19 mlx5_comp3
  5 344            0      1436671       757835           20 mlx5_comp4
  6 345            0      1529780       723680           21 mlx5_comp5
  7 346            0      1465261       779839           22 mlx5_comp6
  8 347            0      1590326       758005           23 mlx5_comp7
total            339     12162932      6024749
