idx irq        fired       rxpkts       txpkts         cpus name
  0 327          129            0            0         0-31 mlx5_async0
  1 328           38      2977317      1493026           32 mlx5_comp0
  2 539           18      2951428      1496903           33 mlx5_comp1
  3 540           14      3103258      1502410           34 mlx5_comp2
  4 541           16      2978838      1506178           35 mlx5_comp3
  5 542           11      3092709      1493875           36 mlx5_comp4
  6 543           13      2947619      1509918           37 mlx5_comp5
  7 544           11      2933418      1509415           38 mlx5_comp6
  8 545           71      3087791      1511121           39 mlx5_comp7
total            321     24072378     12022846
