idx irq        fired       rxpkts       txpkts         cpus name
  0 327        25959            0            0         0-31 mlx5_async0
  1 328       393952      4532472      2246035           32 mlx5_comp0
  2 539       390719      4405688      2247719           33 mlx5_comp1
  3 540       366299      4715050      2236194           34 mlx5_comp2
  4 541       348729      4353883      2267194           35 mlx5_comp3
  5 542       356080      4677211      2261775           36 mlx5_comp4
  6 543       368569      4387895      2252274           37 mlx5_comp5
  7 544       367682      4556611      2250104           38 mlx5_comp6
  8 545       368535      4494759      2270177           39 mlx5_comp7
total        2986524     36123569     18031472
