idx irq        fired       rxpkts       txpkts         cpus name
  0 317          418            0            0        32-63 mlx5_async0
  1 318           55      7941584      3785263           16 mlx5_comp0
  2 341            4      7599001      3980637           17 mlx5_comp1
  3 342            0      8379476      3704501           18 mlx5_comp2
  4 343            3      7143022      3936748           19 mlx5_comp3
  5 344           81      7182295      3656535           20 mlx5_comp4
  6 345            0      8344200      4071299           21 mlx5_comp5
  7 346            2      8348322      4257154           22 mlx5_comp6
  8 347            3      7133352      3626717           23 mlx5_comp7
total            566     62071252     31018854
