idx irq        fired       rxpkts       txpkts         cpus name
  0 317          397            0            0        32-63 mlx5_async0
  1 318            0      4791788      2314962           16 mlx5_comp0
  2 341            0      4203437      2097954           17 mlx5_comp1
  3 342            0      4640300      2160977           18 mlx5_comp2
  4 343            0      4449966      2186041           19 mlx5_comp3
  5 344            0      4696806      2395718           20 mlx5_comp4
  6 345            0      4378636      2305484           21 mlx5_comp5
  7 346            0      4332696      2348322           22 mlx5_comp6
  8 347            0      4619141      2218612           23 mlx5_comp7
total            397     36112770     18028070
