idx irq        fired       rxpkts       txpkts         cpus name
  0 327        14186            0            0         0-31 mlx5_async0
  1 328       293372      7578073      3635139           32 mlx5_comp0
  2 539       294876      7285849      3608354           33 mlx5_comp1
  3 540       292678      7561394      3900389           34 mlx5_comp2
  4 541       295002      6896354      3617557           35 mlx5_comp3
  5 542       276946      7447164      3833169           36 mlx5_comp4
  6 543       298365      7933190      3564337           37 mlx5_comp5
  7 544       298720      7072653      3687859           38 mlx5_comp6
  8 545       271467      7017063      3528070           39 mlx5_comp7
total        2335612     58791740     29374874
