idx irq        fired       rxpkts       txpkts         cpus name
  0 327        52194            0            0         0-31 mlx5_async0
  1 328       612818      1528337       757376           32 mlx5_comp0
  2 539       612593      1469253       753491           33 mlx5_comp1
  3 540       574726      1559610       750499           34 mlx5_comp2
  4 541       563831      1519197       754839           35 mlx5_comp3
  5 542       577312      1498583       755777           36 mlx5_comp4
  6 543       616567      1467518       748170           37 mlx5_comp5
  7 544       582779      1525813       742047           38 mlx5_comp6
  8 545       593370      1553512       760310           39 mlx5_comp7
total        4786190     12121823      6022509
