idx irq        fired       rxpkts       txpkts         cpus name
  0 327          130            0            0         0-31 mlx5_async0
  1 328            3      5979684      2995822           32 mlx5_comp0
  2 539           11      6164422      3018341           33 mlx5_comp1
  3 540            8      5700686      3084071           34 mlx5_comp2
  4 541          126      6001732      3017566           35 mlx5_comp3
  5 542           13      6034575      2888793           36 mlx5_comp4
  6 543           32      6037855      2847466           37 mlx5_comp5
  7 544            0      5818255      3002718           38 mlx5_comp6
  8 545           19      6343457      3170870           39 mlx5_comp7
total            342     48080666     24025647
